Name,Brand,benzyl acetate,benzyl benzoate,xylene,toulene,Asthma_Trigger
Tihota Eau de Parfum,Indult,0.49,13.41,28.78,4.28,0
Sola Parfum,Di Ser,3.49,25.19,39.62,0.6,1
Kagiroi Parfum,Di Ser,0.01,0.12,87.41,0.01,1
Velvet Fantasy Eau de Parfum,Montale,0.0,0.05,84.68,0.01,1
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire,0.0,0.17,90.66,0.01,1
Freckled and Beautiful Eau de Parfum,A Lab on Fire,0.87,9.68,6.0,1.57,0
Exit the King Eau de Parfum,Etat Libre d'Orange,0.01,0.01,89.46,0.0,1
Eshu Extrait,PRIN,0.01,0.12,68.39,0.01,1
Saringkarn Extrait,PRIN,0.03,0.59,96.35,0.09,1
Arsalan Parfum,PRIN,0.08,16.13,39.52,0.14,1
Nocturnal Poetry Parfum,PRIN,1.57,3.16,78.15,1.25,1
Homa Parfum,PRIN,0.29,8.67,65.06,1.13,1
Koala Extrait de Parfum,Zoologist,1.81,5.97,28.88,3.54,0
L'Homme A La Rose Eau de Parfum,Maison Francis Kurkdjian,0.04,0.1,23.24,0.03,0
Rozu Eau de Parfum,Aesop,0.55,1.05,11.55,0.55,0
Champs Lunaires Eau de Toilette,Rogue Perfumery,6.84,0.56,29.86,0.54,0
Prends-Moi Eau de Parfum,Isabey,0.01,0.25,22.11,0.0,0
Eau de Cuisine Eau de Parfum,Hilde Soliani,0.02,0.51,60.53,0.01,1
Disobbedienza Eau de Parfum,Hilde Soliani,0.94,2.01,15.96,0.95,0
Vanille de Tahiti Eau de Parfum,Perris Monte Carlo,1.32,2.88,70.43,0.5,1
Gris Charnel Eau de Parfum,BDK Parfums,0.05,0.0,38.01,0.07,0
Milk Musk Eau de Toilette,Molton Brown,0.03,0.41,53.85,0.01,1
Blackberry Woods Eau de Parfum,Shay & Blue,0.6,0.02,42.96,0.13,0
Lavande Romaine Eau de Parfum,Perris Monte Carlo,0.05,3.16,27.53,0.5,0
Celestial Eau de Parfum,Electimuss,0.02,5.11,70.85,0.2,1
Puritas Eau de Parfum,Electimuss,0.02,0.22,23.73,0.01,0
